airport_code,city,coordinate,country,image_url,airport_name,icao,time_zone,city_code,country_iso2
AAM,Mala Mala,-24.82:31.54,South Africa,,Mala Mala,FAMD,Africa/Johannesburg,AAM,ZA
AAN,Al Ain,24.2075:55.7447222,United Arab Emirates,https://upload.wikimedia.org/wikipedia/commons/5/55/Jabal_hafeet_shahin.jpg,Al Ain Airport,OMAL,Asia/Dubai,AAN,AE
AAO,Anaco,9.43:-64.47,Venezuela,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Plaza_Bolivar_Anaco_Anzo%C3%A1tegui.jpg/800px-Plaza_Bolivar_Anaco_Anzo%C3%A1tegui.jpg,Anaco,SVAN,America/Caracas,AAO,VE
AAQ,Anapa,44.8950197:37.3310394,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Anapa._Beach.JPG/800px-Anapa._Beach.JPG,Anapa Airport,URKA,Europe/Moscow,AAQ,RU
AAR,Aarhus,56.162939:10.203921,Denmark,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Drone_photo_of_Dokk1_in_Aarhus%2C_Denmark.jpg/800px-Drone_photo_of_Dokk1_in_Aarhus%2C_Denmark.jpg,Aarhus Airport,EKAH,Europe/Copenhagen,AAR,DK
AAS,Apalapsili,-3.916667:139.25,Indonesia,,Apalapsili,,Asia/Jayapura,AAS,ID
AAT,Altay,47.844924:88.141253,China,,Altay Airport,ZWAT,Asia/Urumqi,AAT,CN
AAU,Asau,,Samoa,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/ISS018-E-7727_NASA_Asau_Savai%27i%2C_Samoa.jpg/960px-ISS018-E-7727_NASA_Asau_Savai%27i%2C_Samoa.jpg,Asau,NSAU,Pacific/Apia,AAU,WS
AAV,Surallah,6.37:124.75,Philippines,,Allah Valley,RPMA,Asia/Manila,AAV,PH
AAW,Abbottabad,34.1466667:73.2163889,Pakistan,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/View_at_mukshpuri_top_Nathiagali_Hills%2CAbbottabad_District%2CKhyber_Pakhtunkhwa.jpg/800px-View_at_mukshpuri_top_Nathiagali_Hills%2CAbbottabad_District%2CKhyber_Pakhtunkhwa.jpg,Abbottabad,OPAB,Asia/Karachi,AAW,PK
AAX,Araxa,-19.5940015:-46.9409653,Brazil,,Araxa Airport,SBAX,America/Sao_Paulo,AAX,BR
AAY,Al Ghaydah,16.19:52.18,Yemen,,Al Ghaydah,OYGD,Asia/Aden,AAY,YE
AAZ,Quetzaltenango,14.836156:-91.521959,Guatemala,,Quetzaltenango,MGQZ,America/Guatemala,AAZ,GT
ABA,Abakan,53.7291718:91.4611893,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Abakan-.jpg/800px-Abakan-.jpg,Abakan Airport,UNAA,Asia/Krasnoyarsk,ABA,RU
ABC,Albacete,38.9976516:-1.8600701,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Puerta_de_Hierros_de_Albacete.jpg/960px-Puerta_de_Hierros_de_Albacete.jpg,Los Llanos,LEAB,Europe/Madrid,ABC,ES
ABD,Abadan,30.0833333:48.5333333,Iran,,Abadan Airport,OIAA,Asia/Tehran,ABD,IR
ABE,Allentown,40.6084305:-75.4901833,United States,,Lehigh Valley International Airport,KABE,America/New_York,ABE,US
ABF,Abaiang,2.0:173.0,Kiribati,,Abaiang,NGAB,Pacific/Tarawa,ABF,KI
ABG,Abingdon,,Australia,,Abingdon,YABI,Australia/Brisbane,ABG,AU
ABH,Alpha,-23.6484459:146.6406439,Australia,,Alpha,YAPH,Australia/Brisbane,ABH,AU
ABI,Abilene,32.4487364:-99.7331439,United States,,Abilene Regional Airport,KABI,America/Chicago,ABI,US
ABJ,Abidjan,5.336318:-4.027751,Ivory Coast,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Abidjan_Plateau.png/800px-Abidjan_Plateau.png,Felix Houphouet Boigny Airport,DIAP,Africa/Abidjan,ABJ,CI
ABK,Kabri Dar,6.73:44.25,Ethiopia,,Kabri Dar,HAKD,Africa/Addis_Ababa,ABK,ET
ABL,Ambler,67.0861111:-157.8513889,United States,,Ambler Airport,PAFM,America/Anchorage,ABL,US
ABM,Bamaga,-10.88658:142.3881988,Australia,,Northern Peninsula Airport,YNPE,Australia/Brisbane,ABM,AU
ABN,Albina,5.5050681:-54.0793451,Suriname,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Albina2008.jpg/800px-Albina2008.jpg,Albina,SMBN,America/Paramaribo,ABN,SR
ABO,Aboisso,5.466667:-3.2,Ivory Coast,https://upload.wikimedia.org/wikipedia/commons/8/8b/Palm_oil_factory_cote_d_Ivoire.jpg,Aboisso,DIAO,Africa/Abidjan,ABO,CI
ABP,Atkamba,-6.05:141.08,Papua New Guinea,,Atkamba,,Pacific/Port_Moresby,ABP,PG
ABQ,Albuquerque,35.0844909:-106.6511367,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Abqdowntown.jpg/800px-Abqdowntown.jpg,Albuquerque International Sunport,KABQ,America/Denver,ABQ,US
ABR,Aberdeen,45.4646985:-98.4864829,United States,,Aberdeen Municipal Airport,KABR,America/Chicago,ABR,US
ABS,Abu Simbel,22.38:31.61,Egypt,,Abu Simbel,HEBL,Africa/Cairo,ABS,EG
ABT,Al-Baha,20.3:41.63,Saudi Arabia,,Al-Aqiq Airport,OEBA,Asia/Riyadh,ABT,SA
ABU,Atambua,-9.07:124.9,Indonesia,,Haliwen Airport,WATA,Asia/Makassar,ABU,ID
ABV,Abuja,9.0666667:7.4833333,Nigeria,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/The_National_Assembly_Globe.jpg/960px-The_National_Assembly_Globe.jpg,Nnamdi Azikiwe International Airport,DNAA,Africa/Lagos,ABV,NG
ABW,Abau,-10.2:148.73,Papua New Guinea,,Abau,,Pacific/Port_Moresby,ABW,PG
ABX,Albury,-36.0807785:146.9164693,Australia,,Albury Airport,YMAY,Australia/Sydney,ABX,AU
ABY,Albany,31.5785074:-84.155741,United States,,Southwest Georgia Regional Airport,KABY,America/New_York,ABY,US
ABZ,Aberdeen,57.1474915:-2.095397,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/%2B_%22Silver_City%22_wird_Aberdeen_wegen_seiner_vielen_Granitgeb%C3%A4ude_genannt._07.jpg/800px-%2B_%22Silver_City%22_wird_Aberdeen_wegen_seiner_vielen_Granitgeb%C3%A4ude_genannt._07.jpg,Aberdeen International Airport,EGPD,Europe/London,ABZ,GB
ACA,Acapulco,16.863794:-99.881614,Mexico,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Acapulco3.jpg/960px-Acapulco3.jpg,Acapulco International Airport,MMAA,America/Mexico_City,ACA,MX
ACB,Bellaire,44.9802822:-85.2111728,United States,,Antrim County,KACB,America/Detroit,ACB,US
ACC,Accra,5.555717:-0.196306,Ghana,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Acca.jpg/960px-Acca.jpg,Kotoka International Airport,DGAA,Africa/Accra,ACC,GH
ACD,Acandi,8.5:-73.63,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Vista_aerea_de_Acandi.jpg/960px-Vista_aerea_de_Acandi.jpg,Acandi,SKAD,America/Bogota,ACD,CO
ACE,Arrecife,28.9595062:-13.5476012,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Arrecife%2C_Lanzarote_2011.JPG/960px-Arrecife%2C_Lanzarote_2011.JPG,Lanzarote Airport,GCRR,Atlantic/Canary,ACE,ES
ACH,Altenrhein,47.4674873:9.566754,Switzerland,,Altenrhein Airport,LSZR,Europe/Zurich,ACH,CH
ACI,Alderney,49.7137136:-2.1997945,United Kingdom,,Alderney Airport,EGJA,Europe/Guernsey,ACI,GB
ACJ,Anuradhapura,,Sri Lanka,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/SL_Anuradhapura_asv2020-01_img11_Ruwanwelisaya_Stupa.jpg/960px-SL_Anuradhapura_asv2020-01_img11_Ruwanwelisaya_Stupa.jpg,Anuradhapura,VCCA,Asia/Colombo,ACJ,LK
ACK,Nantucket,41.2834563:-70.0994605,United States,,Nantucket Memorial Airport,KACK,America/New_York,ACK,US
ACL,Aguaclara,4.73803:-73.00394,Colombia,,Aguaclara,,America/Bogota,ACL,CO
ACM,Arica,-2.13:-71.78,Colombia,,Arica,,America/Bogota,ACM,CO
ACN,Acuna,29.33:-101.1,Mexico,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Asta_bandera_-_panoramio.jpg/800px-Asta_bandera_-_panoramio.jpg,International,MMCC,America/Matamoros,ACN,MX
ACO,Ascona,46.15732:8.7773558,Switzerland,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Ascona_IMG_1646.jpg/800px-Ascona_IMG_1646.jpg,Cobano Airport,MRAF,America/Costa_Rica,ACO,CR
ACP,Sahand,,Iran,,Sahand,OITM,Asia/Tehran,ACP,IR
ACR,Araracuara,-0.6:-72.4,Colombia,,Araracuara,SKAC,America/Bogota,ACR,CO
ACS,Achinsk,56.28236:90.5170516,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Achinsk_station.jpg/960px-Achinsk_station.jpg,Achinsk,UNKS,Asia/Krasnoyarsk,ACS,RU
ACT,Waco,31.549333:-97.1466695,United States,,Waco Municipal Airport,KACT,America/Chicago,ACT,US
ACU,Achutupo,9.18:-78.02,Panama,,Achutupo,,America/Panama,ACU,PA
ACV,Arcata,40.8665166:-124.0828396,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Arcata_McKinley_Statue_Wide.jpg/799px-Arcata_McKinley_Statue_Wide.jpg,Arcata-Eureka Airport,KACV,America/Los_Angeles,ACV,US
ACX,Xingyi,,China,,Xingyi Airport,ZUYI,Asia/Shanghai,ACX,CN
ACY,Atlantic City,39.3642834:-74.4229266,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/A_sunset_view_of_the_beach_in_Atlantic_City%2C_NJ.jpg/960px-A_sunset_view_of_the_beach_in_Atlantic_City%2C_NJ.jpg,Atlantic City International Airport,KACY,America/New_York,AIY,US
ACZ,Zabol,31.03845:61.496181,Iran,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/%D8%AF%D8%A7%D8%AE%D9%84_%D8%A7%D8%B1%DA%AF_%D8%B3%DA%A9%D9%88%D9%87%D9%87.JPG/800px-%D8%AF%D8%A7%D8%AE%D9%84_%D8%A7%D8%B1%DA%AF_%D8%B3%DA%A9%D9%88%D9%87%D9%87.JPG,Zabol Airport,OIZB,Asia/Tehran,ACZ,IR
ADA,Adana,37.0:35.3213333,Turkey,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Adana_Seyhan_River.png/960px-Adana_Seyhan_River.png,Adana Airport,LTAF,Europe/Istanbul,ADA,TR
ADC,Andakombe,,Papua New Guinea,,Andakombe,AYAN,Pacific/Port_Moresby,ADC,PG
ADD,Addis Ababa,9.022736:38.746799,Ethiopia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Addis_in_night.jpg/800px-Addis_in_night.jpg,Addis Ababa Bole International Airport,HAAB,Africa/Addis_Ababa,ADD,ET
ADE,Aden,12.8:45.0333333,Yemen,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/MallaDistrict.jpg/800px-MallaDistrict.jpg,International,OYAA,Asia/Aden,ADE,YE
ADF,Adiyaman,37.7641667:38.2761667,Turkey,,Adiyaman Airport,LTCP,Europe/Istanbul,ADF,TR
ADG,Adrian,41.8975471:-84.0371659,United States,,Lenawee County,KADG,America/Detroit,ADG,US
ADH,Aldan,58.6:125.41,Russia,,Aldan,UEEA,Asia/Yakutsk,ADH,RU
ADI,Arandis,-22.46:14.98,Namibia,,Arandis,FYAR,Africa/Windhoek,ADI,
ADK,Adak Island,51.7615874:-176.6217472,United States,,Adak Island Ns,PADK,America/Adak,ADK,US
ADL,Adelaide,-34.9286212:138.5999594,Australia,,Adelaide Airport,YPAD,Australia/Adelaide,ADL,AU
ADN,Andes,5.65:-75.9,Colombia,,Andes,SKAN,America/Bogota,ADN,CO
ADO,Andamooka,-30.4498651:137.1635473,Australia,,Andamooka,YAMK,Australia/Adelaide,ADO,AU
ADQ,Kodiak,57.79:-152.4072222,United States,,Kodiak Benny Benson State Airport,PADQ,America/Anchorage,ADQ,US
ADR,Andrews,33.451278:-79.5608971,United States,,Andrews,KPHH,America/New_York,ADR,US
ADT,Ada,34.774531:-96.6783449,United States,,Ada Municipal,KADH,America/Chicago,ADT,US
ADU,Ardabil,38.33:48.42,Iran,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Ardabil_skyline1.jpg/799px-Ardabil_skyline1.jpg,Ardabil Airport,OITL,Asia/Tehran,ADU,IR
ADV,Andover,51.2093176:-1.4783522,United Kingdom,,El Daein,,Africa/Khartoum,ADV,SD
ADW,Camp Springs,,United States,,Andrews AFB,KADW,America/New_York,ADW,US
ADX,St Andrews,56.3389114:-2.7989253,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/6/69/St_Andrews_from_Regulus_tower_-_geograph.org.uk_-_254003.jpg,Leuchars,EGQL,Europe/London,ADX,GB
ADY,Alldays,-22.68:29.06,South Africa,,Alldays,FAAL,Africa/Johannesburg,ADY,ZA
ADZ,San Andres Island,12.58:-81.71,Colombia,,Gustavo Rojas Pinilla Airport,SKSP,America/Bogota,ADZ,CO
AEA,Abemama Atoll,0.3866713:173.7783322,Kiribati,,Abemama Atoll,NGTB,Pacific/Tarawa,AEA,KI
AED,Aleneva,58.06:-152.9097222,United States,,Aleneva,,America/Anchorage,AED,US
AEG,Aek Godang,1.4:99.43,Indonesia,,Aek Godang,WIME,Asia/Jakarta,AEG,ID
AEH,Abecher,13.85:20.84,Chad,,Abéché,FTTC,Africa/Ndjamena,AEH,TD
AEI,Algeciras,36.1297803:-5.4476981,Spain,https://upload.wikimedia.org/wikipedia/commons/4/46/Vista_A%C3%A9rea_del_Puerto_de_Algeciras.jpg,Algeciras,,Europe/Madrid,AEI,ES
AEK,Aseki,-7.35:146.18,Papua New Guinea,,Aseki,AYAX,Pacific/Port_Moresby,AEK,PG
AEL,Albert Lea,43.6485683:-93.3624319,United States,,Albert Lea,KAEL,America/Chicago,AEL,US
AEO,Aioun El Atrouss,16.661011:-9.617236,Mauritania,,Aioun El Atrouss,GQNA,Africa/Nouakchott,AEO,MR
AER,Sochi (Adler),43.448:39.914,Russia,,Sochi International Airport,URSS,Europe/Moscow,AER,RU
AES,Aalesund,62.56:6.11,Norway,,Vigra Alesund Airport,ENAL,Europe/Oslo,AES,NO
AET,Allakaket,66.5655556:-152.6455556,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Allakaket%2C_Alaska.jpg/800px-Allakaket%2C_Alaska.jpg,Allakaket,PFAL,America/Anchorage,AET,US
AEU,Abu Musa,,Iran,,Abu Musa,OIBA,Asia/Tehran,AEU,IR
AEX,Alexandria,31.3112936:-92.4451371,United States,,Alexandria International Airport,KAEX,America/Chicago,AEX,US
AEY,Akureyri,65.683868:-18.11046,Iceland,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Akureyri_-_Skapti_Hallgr%C3%ADmsson.jpg/800px-Akureyri_-_Skapti_Hallgr%C3%ADmsson.jpg,Akureyri Airport,BIAR,Atlantic/Reykjavik,AEY,IS
AFA,San Rafael,-34.6131516:-68.341011,Argentina,,San Rafael Airport,SAMR,America/Argentina/Mendoza,AFA,AR
AFD,Port Alfred,-33.6:26.8833333,South Africa,,Port Alfred,FAPA,Africa/Johannesburg,AFD,ZA
AFI,Amalfi,6.9166667:-75.0833333,Colombia,,Amalfi,SKAM,America/Bogota,AFI,CO
AFK,Ampara,7.2317591:81.647344,Sri Lanka,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Ampara.jpg/800px-Ampara.jpg,Ampara Kondavattavan Tank Airport,,Asia/Colombo,ADP,LK
AFL,Alta Floresta,-9.8764971:-56.0864252,Brazil,https://upload.wikimedia.org/wikipedia/commons/4/47/Bandeira_de_Alta_Floresta.jpg,Alta Floresta Airport,SBAT,America/Cuiaba,AFL,BR
AFN,Jaffrey,42.813973:-72.0231359,United States,https://upload.wikimedia.org/wikipedia/commons/a/ab/JaffreyLibrary.JPG,Municipal,KAFN,America/New_York,AFN,US
AFO,Afton,42.7249282:-110.9318687,United States,,Municipal,KAFO,America/Denver,AFO,US
AFR,Afore,-9.133333:148.383333,Papua New Guinea,,Afore,AYAF,Pacific/Port_Moresby,AFR,PG
AFS,Zarafshan,41.578861:64.19313,Uzbekistan,,Zarafshan,UTSN,Asia/Samarkand,AFS,UZ
AFT,Afutara,,Solomon Islands,,Afutara Aerodrome,AGAF,Pacific/Guadalcanal,AFT,SB
AFY,Afyon,38.76376:30.54034,Turkey,,Afyon,LTAH,Europe/Istanbul,AFY,TR
AFZ,Sabzevar,,Iran,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Mulla_Hadi_Sabzevari_Tomb_%28ADI3475-05%29.jpg/960px-Mulla_Hadi_Sabzevari_Tomb_%28ADI3475-05%29.jpg,Sabzevar,OIMS,Asia/Tehran,AFZ,IR
AGA,Agadir,30.4:-9.6,Morocco,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Agadir-cityreflection.jpg/800px-Agadir-cityreflection.jpg,Agadir Al Massira Airport,GMAD,Africa/Casablanca,AGA,MA
AGD,Anggi,-1.383333:133.866667,Indonesia,,Anggi,WASG,Asia/Jayapura,AGD,ID
AGE,Wangerooge,53.78812:7.9004975,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Aerial_image_of_Wangerooge_%28view_from_the_west%29.jpg/800px-Aerial_image_of_Wangerooge_%28view_from_the_west%29.jpg,Flugplatz,EDWG,Europe/Berlin,AGE,DE
AGF,Agen,44.203142:0.616363,France,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Vue_Agen_3.JPG/800px-Vue_Agen_3.JPG,La Garenne Airport,LFBA,Europe/Paris,AGF,FR
AGG,Angoram,-4.05:144.07,Papua New Guinea,,Angoram,,Pacific/Port_Moresby,AGG,PG
AGH,Angelholm,56.2432:12.8615092,Sweden,,Angelholm Helsingborg Airport,ESTA,Europe/Stockholm,AGH,SE
AGI,Wageningen,,Suriname,,Wageningen,SMWA,America/Paramaribo,AGI,SR
AGJ,Aguni,26.59:127.22,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Agunijima.jpg/960px-Agunijima.jpg,Aguni,RORA,Asia/Tokyo,AGJ,JP
AGK,Kagua,-6.38:143.85,Papua New Guinea,,Kagua,,Pacific/Port_Moresby,AGK,PG
AGL,Wanigela,-9.33:149.15,Papua New Guinea,,Wanigela,AYWG,Pacific/Port_Moresby,AGL,PG
AGM,Tasiilaq,65.6043845:-37.7072462,Greenland,,Tasiilaq,,America/Godthab,AGM,GL
AGN,Angoon,57.5033333:-134.5838889,United States,,Angoon,PAGN,America/Juneau,AGN,US
AGO,Magnolia,33.2670725:-93.239334,United States,,Municipal,KAGO,America/Chicago,AGO,US
AGP,Malaga,36.7196484:-4.4200163,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/M%C3%A1laga_-_vistas_desde_el_Parador_de_Gibralfaro_01_%28cropped%29.jpg/800px-M%C3%A1laga_-_vistas_desde_el_Parador_de_Gibralfaro_01_%28cropped%29.jpg,Malaga Airport,LEMG,Europe/Madrid,AGP,ES
AGQ,Agrinion,38.628633:21.412317,Greece,,Agrinion,LGAG,Europe/Athens,AGQ,GR
AGR,Agra,27.1766701:78.0080745,India,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Taj_Mahal%2C_Agra%2C_India.jpg/800px-Taj_Mahal%2C_Agra%2C_India.jpg,Kheria,VIAG,Asia/Kolkata,AGR,IN
AGS,Augusta,33.474246:-82.00967,United States,,Augusta Regional Airport,KAGS,America/New_York,AGS,US
AGT,Ciudad Del Este,-25.5085286:-54.6753231,Paraguay,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Centro_ciudad_del_este_2.jpg/800px-Centro_ciudad_del_este_2.jpg,Alejo Garcia Airport,SGES,America/Asuncion,AGT,PY
AGU,Aguascalientes,21.8817964:-102.2912701,Mexico,,Aguascalients International Airport,MMAS,America/Mexico_City,AGU,MX
AGV,Acarigua,9.563591:-69.205452,Venezuela,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Acarigua%2C_Portuguesa%2C_Venezuela_-_panoramio.jpg/960px-Acarigua%2C_Portuguesa%2C_Venezuela_-_panoramio.jpg,Acarigua,SVAC,America/Caracas,AGV,VE
AGW,Agnew,-12.15:142.15,Australia,,Agnew,,Australia/Brisbane,AGW,AU
AGX,Agatti Island,10.8575607:72.1934421,India,,Agatti Island Airport,VOAT,Asia/Kolkata,AGX,IN
AGY,Argyle Downs,-16.33:128.77,Australia,,,,,,
AGZ,Aggeneys,-29.28:18.81,South Africa,,Aggeneys,FAAG,Africa/Johannesburg,AGZ,ZA
AHB,Abha,18.2202208:42.5081599,Saudi Arabia,,Abha Regional Airport,OEAB,Asia/Riyadh,AHB,SA
AHC,Herlong,40.1435142:-120.1346519,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Lassen_County_California_Incorporated_and_Unincorporated_areas_Herlong_Highlighted_0633336.svg/502px-Lassen_County_California_Incorporated_and_Unincorporated_areas_Herlong_Highlighted_0633336.svg.png,Amedee AAF,KAHC,America/Los_Angeles,AHC,US
AHD,Ardmore,34.1742611:-97.1436254,United States,,Downtown,,America/Chicago,ADM,US
AHE,Ahe,-14.4311181:-146.2803612,French Polynesia,,Ahe Airport,NTHE,Pacific/Tahiti,AHE,PF
AHF,Arapahoe,40.3038889:-99.8997222,United States,,Municipal,,America/Chicago,AHF,US
AHH,Amery,45.3069062:-92.3621369,United States,,Municipal,KAHH,America/Chicago,AHH,US
AHI,Amahai,-3.35:128.93,Indonesia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Seram_en.png/960px-Seram_en.png,Amahai,WAPA,Asia/Jayapura,AHI,ID
AHL,Aishalton,2.47:-59.32,Guyana,,Aishalton,SYAH,America/Guyana,AHL,GY
AHN,Athens,33.955802:-83.3823656,United States,,Athens-Ben Epps,KAHN,America/New_York,AHN,US
AHO,Alghero,40.5579814:8.3222037,Italy,,Alghero-Fertilia Airport,LIEA,Europe/Rome,AHO,IT
AHS,Ahuas,15.4610734:-84.2771737,Honduras,,Ahuas,MHAH,America/Tegucigalpa,AHS,HN
AHT,Amchitka,51.5422222:178.9833333,United States,,,,,,
AHU,Al Hoceima,35.249299:-3.937112,Morocco,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Al_Hoceima_Quemado.jpg/800px-Al_Hoceima_Quemado.jpg,Charif Al Idrissi Airport,GMTA,Africa/Casablanca,AHU,MA
AHY,Ambatolahy,-20.0:45.53,Madagascar,,Ambatolahy,,Indian/Antananarivo,AHY,MG
AHZ,Alpe D Huez,45.09:6.08,France,,Alpe D Huez,LFHU,Europe/Paris,AHZ,FR
AIA,Alliance,42.1016344:-102.872145,United States,,Alliance Airport,KAIA,America/Denver,AIA,US
AIB,Anita Bay,56.2012215:-132.433335,United States,,,,,,
AIC,Airok,7.1:171.23,Marshall Islands,,Airok,,Pacific/Majuro,AIC,MH
AID,Anderson,40.1053196:-85.6802541,United States,,Municipal,KAID,America/Indiana/Indianapolis,AID,US
AIE,Aiome,-5.13:144.72,Papua New Guinea,,Aiome,AYAO,Pacific/Port_Moresby,AIE,PG
AIF,Assis,-22.6606373:-50.404369,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Assis_-_2020.jpg/800px-Assis_-_2020.jpg,Assis,SNAX,America/Sao_Paulo,AIF,BR
AIG,Yalinga,6.52:23.26,Central African Republic,,Yalinga,FEFY,Africa/Bangui,AIG,CF
AIH,Aiambak,-7.35:141.267,Papua New Guinea,,Aiambak,AYAK,Pacific/Port_Moresby,AIH,PG
AII,Alisabieh,11.15164:42.712231,Djibouti,,Alisabieh,HDAS,Africa/Djibouti,AII,DJ
AIK,Aiken,33.5604168:-81.7195533,United States,,Municipal,KAIK,America/New_York,AIK,US
AIL,Ailigandi,9.22:-78.02,Panama,,Ailigandi,,America/Panama,AIL,PA
AIM,Ailuk Island,10.304809:169.9416549,Marshall Islands,,Ailuk Island,,Pacific/Majuro,AIM,MH
AIN,Wainwright,70.6369444:-160.0383333,United States,,Wainwright,PAWI,America/Anchorage,AIN,US
AIO,Atlantic,41.4036007:-95.0138776,United States,,Municipal,KAIO,America/Chicago,AIO,US
AIP,Ailinglapalap Island,7.4253719:168.792953,Marshall Islands,,Ailinglapalap Island,VIAX,Pacific/Majuro,AIP,MH
AIR,Aripuana,-10.19:-59.46,Brazil,,Aripuana,SSOU,America/Cuiaba,AIR,BR
AIS,Arorae Island,-2.6421817:176.8295645,Kiribati,,Arorae Island,NGTR,Pacific/Tarawa,AIS,KI
AIT,Aitutaki,-18.8717854:-159.7823059,Cook Islands,,Aitutaki Airport,NCAI,Pacific/Rarotonga,AIT,CK
AIU,Atiu Island,-19.9977887:-158.1073697,Cook Islands,,Atiu Island,NCAT,Pacific/Rarotonga,AIU,CK
